,parent,child,lambda_val,child_size
4810,16453,5271,5.142857142857142,1
4811,16454,5972,5.142857142857142,1
4812,16436,6615,5.56701030927835,1
4813,16449,5868,3.970588235294118,1
4814,16450,10628,3.9416058394160585,1
4815,16389,8172,3.829787234042553,1
4816,16393,7553,6.428571428571429,1
4817,16393,9045,6.428571428571429,1
4818,16437,8738,6.136363636363636,1
4819,16427,4417,5.625,1
4820,16405,16457,5.1923076923076925,51
4821,16405,16458,5.1923076923076925,14
4822,16451,9726,4.909090909090909,1
4823,16451,11167,4.909090909090909,1
4824,16452,9602,4.821428571428571,1
4825,16452,10012,4.821428571428571,1
4826,16452,11035,4.821428571428571,1
4827,16452,10210,4.821428571428571,1
4828,16452,10401,4.821428571428571,1
4829,16413,16459,3.4615384615384617,7332
4830,16413,16460,3.4615384615384617,15
4831,16382,15285,3.802816901408451,1
4832,16439,4638,3.75,1
4833,16411,9828,4.21875,1
4834,16447,7010,3.9416058394160585,1
4835,16455,662,4.32,1
4836,16456,4525,4.32,1
4837,16453,6836,5.1923076923076925,1
4838,16454,6083,5.142857142857142,1
4839,16436,5360,5.56701030927835,1
4840,16449,10892,4.0,1
4841,16449,10746,4.0,1
4842,16449,10858,4.0,1
4843,16450,10072,3.9416058394160585,1
4844,16389,9315,3.857142857142857,1
4845,16393,16461,6.585365853658537,42
4846,16393,16462,6.585365853658537,10
4847,16437,9019,6.206896551724138,1
4848,16427,4151,5.625,1
4849,16457,9028,5.1923076923076925,1
4850,16458,7566,5.1923076923076925,1
4851,16451,10690,4.954128440366972,1
4852,16451,11311,4.954128440366972,1
4853,16459,10276,3.4615384615384617,1
4854,16460,16463,3.4615384615384617,7
4855,16460,16464,3.4615384615384617,8
4856,16382,15201,3.802816901408451,1
4857,16439,3980,3.75,1
4858,16411,9499,4.21875,1
4859,16411,9516,4.21875,1
4860,16447,6879,3.9416058394160585,1
4861,16455,168,4.32,1
4862,16456,4441,4.32,1
4863,16453,16465,5.1923076923076925,72
4864,16453,16466,5.1923076923076925,5
